No,관리분류군,정이명여부,학명,대표국명,명명자,명명년도,Phylum,,Class,,Order,,Family,,Genus,,SubGenus,,Species,,콘텐츠 여부,URL
29,조류,정명,"Aythya baeri (Radde, 1863)",붉은가슴흰죽지,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aythya,흰죽지속,,,baeri,붉은가슴흰죽지,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001453
30,조류,정명,"Aythya nyroca (G?ldenst?dt, 1770)",적갈색흰죽지,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aythya,흰죽지속,,,nyroca,적갈색흰죽지,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001454
31,조류,정명,"Aythya fuligula (Linnaeus, 1758)",댕기흰죽지,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aythya,흰죽지속,,,fuligula,댕기흰죽지,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001455
32,조류,정명,"Aythya marila (Linnaeus, 1761)",검은머리흰죽지,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aythya,흰죽지속,,,marila,검은머리흰죽지,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001456
33,조류,정명,"Somateria spectabilis (Linnaeus, 1758)",호사북방오리,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Somateria,호사북방오리속,,,spectabilis,호사북방오리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001458
34,조류,정명,"Histrionicus histrionicus (Linnaeus, 1758)",흰줄박이오리,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Histrionicus,흰줄박이오리속,,,histrionicus,흰줄박이오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001460
35,조류,정명,"Melanitta americana (Swainson, 1832)",검둥오리,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Melanitta,검둥오리속,,,americana,검둥오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001463
36,조류,정명,"Clangula hyemalis (Linnaeus, 1758)",바다꿩,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Clangula,바다꿩속,,,hyemalis,바다꿩,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001465
37,조류,정명,"Bucephala clangula (Linnaeus, 1758)",흰뺨오리,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Bucephala,흰뺨오리속,,,clangula,흰뺨오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001467
38,조류,정명,"Bucephala islandica (Gmelin, 1789)",북방흰뺨오리,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Bucephala,흰뺨오리속,,,islandica,북방흰뺨오리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001468
